epoch,accuracy,loss,val_accuracy,val_loss
0,0.3270173966884613,1.74507474899292,0.5353333353996277,1.360292911529541
1,0.5523852109909058,1.2972838878631592,0.6420000195503235,1.0473270416259766
2,0.6580472588539124,1.0473995208740234,0.70333331823349,0.8684296607971191
3,0.7050824761390686,0.9138991236686707,0.7540000081062317,0.7550703287124634
4,0.7298261523246765,0.8323087692260742,0.7986666560173035,0.6674599647521973
5,0.7550156116485596,0.7516089677810669,0.8086666464805603,0.6168324947357178
6,0.7719572186470032,0.7042673230171204,0.8233333230018616,0.5885939002037048
7,0.7828800678253174,0.6626603603363037,0.8306666612625122,0.5625150203704834
8,0.8107445240020752,0.6166309714317322,0.8320000171661377,0.548692524433136
9,0.8109674453735352,0.6063633561134338,0.8333333134651184,0.5446571111679077
